bladnr,download_link,download_size_bytes,einddatum,id,jaargang_luchtfoto,startdatum
220000_586000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_220000_586000.zip,5342970,2026/01/01 00:59:59,cff7d8c7-8c2b-5002-86c6-5dcac544925b,2025,2025/01/01 01:00:00
220000_588000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_220000_588000.zip,5768877,2026/01/01 00:59:59,59545385-3d84-5726-9209-67b1c4a6556f,2025,2025/01/01 01:00:00
222000_562000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_562000.zip,24599453,2026/01/01 00:59:59,a0773e3a-a52d-5e3f-ad75-2f91005c8091,2025,2025/01/01 01:00:00
222000_564000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_564000.zip,25106966,2026/01/01 00:59:59,e0a86462-f7f1-52ac-9df1-246cbb78f1b9,2025,2025/01/01 01:00:00
222000_566000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_566000.zip,11438220,2026/01/01 00:59:59,669e166c-15fa-5965-ad46-18b8fea2c7d3,2025,2025/01/01 01:00:00
222000_568000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_568000.zip,15552604,2026/01/01 00:59:59,4f1bcc54-a1e6-5861-847e-76b2c5a09bf9,2025,2025/01/01 01:00:00
222000_570000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_570000.zip,10669551,2026/01/01 00:59:59,7ceb5bb5-e745-5afb-9f38-1861169dad52,2025,2025/01/01 01:00:00
222000_572000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_572000.zip,14014916,2026/01/01 00:59:59,119d8ffd-64e3-57d6-bdf7-862b62f5a7f3,2025,2025/01/01 01:00:00
222000_574000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_574000.zip,13391683,2026/01/01 00:59:59,4d4950b1-147c-5b27-a0d9-fe53e291170b,2025,2025/01/01 01:00:00
222000_576000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_576000.zip,13442757,2026/01/01 00:59:59,7be98c5d-69b1-5c6d-aac9-096f0f6c11dd,2025,2025/01/01 01:00:00
222000_578000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_578000.zip,8294084,2026/01/01 00:59:59,fddb7572-e6ee-50dc-83a1-67b5d0b7b9cb,2025,2025/01/01 01:00:00
222000_580000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_580000.zip,6368284,2026/01/01 00:59:59,68b45de1-9ff5-59d4-8ea6-3cb7ae1b8210,2025,2025/01/01 01:00:00
222000_582000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_582000.zip,4854351,2026/01/01 00:59:59,"0b1cf187-167f-501f-93b2-b4761af56eb2",2025,2025/01/01 01:00:00
222000_584000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_584000.zip,13357624,2026/01/01 00:59:59,26690955-cede-5e73-9ecf-efeba5f0498d,2025,2025/01/01 01:00:00
222000_586000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_586000.zip,7505928,2026/01/01 00:59:59,4d33b557-7f07-516b-81e9-0205225173fb,2025,2025/01/01 01:00:00
222000_588000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_222000_588000.zip,3753893,2026/01/01 00:59:59,24fbad3b-f43d-5710-9755-e557aa0fb404,2025,2025/01/01 01:00:00
224000_562000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_562000.zip,27423134,2026/01/01 00:59:59,50d23f78-08c1-5922-b247-6f1a02248f91,2025,2025/01/01 01:00:00
224000_564000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_564000.zip,20817971,2026/01/01 00:59:59,4237312a-0693-5dee-8992-089e189e6ef4,2025,2025/01/01 01:00:00
224000_566000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_566000.zip,23383280,2026/01/01 00:59:59,c9acde4d-5f33-528c-8bbc-0587dc477007,2025,2025/01/01 01:00:00
224000_568000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_568000.zip,16023364,2026/01/01 00:59:59,2f88a32f-9673-5ab8-9bb6-dbd4dd5da6f5,2025,2025/01/01 01:00:00
224000_570000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_570000.zip,23261507,2026/01/01 00:59:59,c2a2998b-b032-5db9-b3a9-fe21e7abbe84,2025,2025/01/01 01:00:00
224000_572000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_572000.zip,16441663,2026/01/01 00:59:59,b0e52a16-ad82-5205-b9d2-7bb7427d5805,2025,2025/01/01 01:00:00
224000_574000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_574000.zip,12526850,2026/01/01 00:59:59,9aafe34c-1d42-5df2-9dd7-7d901141ec61,2025,2025/01/01 01:00:00
224000_576000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_576000.zip,25627123,2026/01/01 00:59:59,c001d9d2-0a30-5db3-b96c-ffc0d36f5cb2,2025,2025/01/01 01:00:00
224000_578000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_578000.zip,13570676,2026/01/01 00:59:59,54a9cdec-45e7-5156-bea9-88d7a4651087,2025,2025/01/01 01:00:00
224000_580000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_580000.zip,6063960,2026/01/01 00:59:59,17aeca40-a056-585e-8e7b-18f187c8a1b4,2025,2025/01/01 01:00:00
224000_582000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_582000.zip,5978365,2026/01/01 00:59:59,3e5dc6ed-7126-5bb9-a18c-8894fdc134ed,2025,2025/01/01 01:00:00
224000_584000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_584000.zip,5454479,2026/01/01 00:59:59,df9bb215-f27b-5ec2-8799-5ba1a81a8c7d,2025,2025/01/01 01:00:00
224000_586000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_586000.zip,7778334,2026/01/01 00:59:59,da0957a6-6c2d-53c7-90d5-b674a8ec6e0a,2025,2025/01/01 01:00:00
224000_588000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_224000_588000.zip,4256386,2026/01/01 00:59:59,ae97082d-c4bf-5665-8b7e-35399f3e7584,2025,2025/01/01 01:00:00
226000_562000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_562000.zip,12673124,2026/01/01 00:59:59,298f0e71-16a7-5d9b-baa1-fe109564ba48,2025,2025/01/01 01:00:00
226000_564000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_564000.zip,32570753,2026/01/01 00:59:59,279f0130-2002-5bc5-a1d2-363e8e781a2c,2025,2025/01/01 01:00:00
226000_566000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_566000.zip,21704378,2026/01/01 00:59:59,c122f4fd-be9c-54ab-9c45-df21a182ecd3,2025,2025/01/01 01:00:00
226000_568000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_568000.zip,14691303,2026/01/01 00:59:59,a73bf288-e769-52e3-baa1-e3ede8051eb1,2025,2025/01/01 01:00:00
226000_570000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_570000.zip,13144889,2026/01/01 00:59:59,88d2dfed-e27e-5eb2-a77b-eceffff15fbc,2025,2025/01/01 01:00:00
226000_572000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_572000.zip,11150861,2026/01/01 00:59:59,3af4a6d2-d16c-54d6-99e2-79dd79344fa6,2025,2025/01/01 01:00:00
226000_574000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_574000.zip,13057987,2026/01/01 00:59:59,8d529893-4b18-5978-9230-645ea6c2ab25,2025,2025/01/01 01:00:00
226000_576000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_576000.zip,19523066,2026/01/01 00:59:59,61390896-eca2-5c97-806b-73c45405ba4f,2025,2025/01/01 01:00:00
226000_578000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_578000.zip,28213821,2026/01/01 00:59:59,3bdf2c93-69b9-5ffe-b1d7-ebc32ad02ec0,2025,2025/01/01 01:00:00
226000_580000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_580000.zip,10966933,2026/01/01 00:59:59,fd310eb7-98ce-55b6-91a7-8f35747122a5,2025,2025/01/01 01:00:00
226000_582000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_582000.zip,6546480,2026/01/01 00:59:59,6a5f2f98-0292-5d9f-9041-8e29132c6bf5,2025,2025/01/01 01:00:00
226000_584000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_584000.zip,6782173,2026/01/01 00:59:59,32246213-9a7b-5444-9374-0607f26bc7c3,2025,2025/01/01 01:00:00
226000_586000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_586000.zip,7759620,2026/01/01 00:59:59,56b02c3f-764f-548b-8e6b-071d121ff2a4,2025,2025/01/01 01:00:00
226000_588000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_226000_588000.zip,3874583,2026/01/01 00:59:59,255f7a75-7ed1-52ad-b7f1-960ee71e46b5,2025,2025/01/01 01:00:00
228000_562000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_562000.zip,9255821,2026/01/01 00:59:59,1f012255-1ded-5878-b397-39718adc11ab,2025,2025/01/01 01:00:00
228000_564000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_564000.zip,19004600,2026/01/01 00:59:59,878d33fc-a307-57d5-8957-3ee49bc7bc50,2025,2025/01/01 01:00:00
228000_566000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_566000.zip,20488477,2026/01/01 00:59:59,8615a61e-6907-522b-beb2-73c221a90b96,2025,2025/01/01 01:00:00
228000_568000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_568000.zip,10995689,2026/01/01 00:59:59,"07324958-2969-50c1-a470-c227cb1cace2",2025,2025/01/01 01:00:00
228000_570000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_570000.zip,15040903,2026/01/01 00:59:59,5bd990af-0537-55d0-8f80-74ba371685f0,2025,2025/01/01 01:00:00
228000_572000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_572000.zip,11331883,2026/01/01 00:59:59,b186b06c-a01a-5e3b-9006-ff1edf1231fa,2025,2025/01/01 01:00:00
228000_574000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_574000.zip,15719797,2026/01/01 00:59:59,cc225603-e969-5b62-838a-900b033b1b0b,2025,2025/01/01 01:00:00
228000_576000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_576000.zip,30339958,2026/01/01 00:59:59,b8b29625-3ea8-523c-9057-bf43c9ea18b1,2025,2025/01/01 01:00:00
228000_578000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_578000.zip,32705714,2026/01/01 00:59:59,7e4649be-d85c-5fbf-a5e7-a9ee6b1297e6,2025,2025/01/01 01:00:00
228000_580000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_580000.zip,14379083,2026/01/01 00:59:59,37f46bac-4c7e-5511-bc13-ec344ffce5af,2025,2025/01/01 01:00:00
228000_582000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_582000.zip,9104691,2026/01/01 00:59:59,17adc1b3-01ca-5452-9fde-5e436c2dc3d9,2025,2025/01/01 01:00:00
228000_584000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_584000.zip,7981476,2026/01/01 00:59:59,bd45cd22-4f6d-55e2-99ea-4a9bca50dfa0,2025,2025/01/01 01:00:00
